Present_Tmax,Present_Tmin,DEM,lat,lon,Slope,Solar radiation,Act_Next_Tmax,Act_Next_Tmin,Date
28.1,22.8,26.298,37.5507,127.04,0.5721,5848.048828,29,23.1,2/7/2013
29,23.1,21.9668,37.5102,127.086,0.1332,5841.537598,27.9,23,2/7/2013
27.9,23,15.5876,37.5372,126.891,0.1554,5840.055176,27.9,23.1,2/7/2013
27.9,23.1,17.2956,37.5237,126.909,0.2223,5838.980469,28.5,23,2/7/2013
28.5,23,19.5844,37.5237,126.97,0.2713,5843.812988,27.9,17.9,2/7/2013
27.9,17.9,212.335,37.6046,126.991,2.785,5975.67627,30.4,20.4,3/7/2013
30.4,20.4,44.7624,37.6046,127.032,0.5141,5851.499512,30.7,20.8,3/7/2013
30.7,20.8,33.3068,37.5776,127.058,0.2661,5845.751465,30.7,20.9,3/7/2013
30.7,20.9,45.716,37.645,127.022,2.5348,5839.094727,30.5,20.9,3/7/2013
30.5,20.9,35.038,37.5507,127.135,0.5055,5841.578125,30.5,20.9,3/7/2013
30.5,20.9,54.6384,37.5102,127.042,0.1457,5855.803223,29.1,20.1,3/7/2013
29.1,20.1,12.37,37.5776,126.838,0.0985,5831.343262,28.9,20.4,3/7/2013
28.9,20.4,52.518,37.4697,126.91,1.5629,5845.816895,29.4,19.5,3/7/2013
29.4,19.5,50.9312,37.4967,126.826,0.4125,5859.089355,28.7,19.3,3/7/2013
28.7,19.3,208.507,37.4562,126.955,5.1782,5873.69043,31.6,21.3,3/7/2013
31.6,21.3,28.7,37.5372,127.085,0.6233,5846.328613,30.8,18.9,3/7/2013
30.8,18.9,132.118,37.5507,126.988,0.5931,5906.28125,31.1,21.1,3/7/2013
31.1,21.1,59.8324,37.5776,127.083,2.6865,5842.81543,29.5,20.3,3/7/2013
29.5,20.3,30.968,37.4967,126.927,0.618,5840.003906,29.6,19.8,3/7/2013
29.6,19.8,30.0464,37.5507,126.937,0.8552,5849.007324,29.4,19,3/7/2013
29.4,19,82.2912,37.4697,126.995,2.2579,5842.662598,30.8,20.6,3/7/2013
30.8,20.6,53.4712,37.6181,127.099,0.697,5854.449219,31.6,20.9,3/7/2013
31.6,20.9,56.4448,37.4832,127.024,1.2313,5846.703125,30.1,19.6,3/7/2013
30.1,19.6,75.0924,37.5776,126.938,1.7678,5875.916016,30.1,20.3,3/7/2013
30.1,20.3,146.554,37.6181,127.004,4.7296,5914.817383,30.3,20.7,3/7/2013
30.3,20.7,26.298,37.5507,127.04,0.5721,5841.541016,31.3,21.1,3/7/2013
31.3,21.1,21.9668,37.5102,127.086,0.1332,5834.976074,31,20.5,3/7/2013
31,20.5,15.5876,37.5372,126.891,0.1554,5833.513672,30.1,20.7,3/7/2013
30.1,20.7,17.2956,37.5237,126.909,0.2223,5832.412109,30.8,20.8,3/7/2013
30.8,20.8,19.5844,37.5237,126.97,0.2713,5837.300781,24.9,21.5,3/7/2013
24.9,21.5,212.335,37.6046,126.991,2.785,5968.809082,28,23.3,4/7/2013
28,23.3,44.7624,37.6046,127.032,0.5141,5844.398438,27.6,23.5,4/7/2013
27.6,23.5,33.3068,37.5776,127.058,0.2661,5838.654297,28.2,23.8,4/7/2013
28.2,23.8,45.716,37.645,127.022,2.5348,5832.032227,28.1,23.5,4/7/2013
28.1,23.5,35.038,37.5507,127.135,0.5055,5834.413086,28,24.3,4/7/2013
28,24.3,54.6384,37.5102,127.042,0.1457,5848.636719,26.9,23.9,4/7/2013
26.9,23.9,12.37,37.5776,126.838,0.0985,5824.211914,27.1,23.9,4/7/2013
27.1,23.9,52.518,37.4697,126.91,1.5629,5838.573242,26.9,23.5,4/7/2013
26.9,23.5,50.9312,37.4967,126.826,0.4125,5851.988281,26.1,23.5,4/7/2013
26.1,23.5,208.507,37.4562,126.955,5.1782,5865.756348,28.4,24.6,4/7/2013
28.4,24.6,28.7,37.5372,127.085,0.6233,5839.283691,27.2,22.6,4/7/2013
27.2,22.6,132.118,37.5507,126.988,0.5931,5899.087402,28.4,23.8,4/7/2013
28.4,23.8,59.8324,37.5776,127.083,2.6865,5835.557617,27.2,23.7,4/7/2013
27.2,23.7,30.968,37.4967,126.927,0.618,5832.850098,26.6,23.4,4/7/2013
26.6,23.4,30.0464,37.5507,126.937,0.8552,5841.97168,26.5,23.2,4/7/2013
26.5,23.2,82.2912,37.4697,126.995,2.2579,5835.20166,28.3,23.4,4/7/2013
28.3,23.4,53.4712,37.6181,127.099,0.697,5847.303223,29,24,4/7/2013
29,24,56.4448,37.4832,127.024,1.2313,5839.429199,26.7,23.4,4/7/2013
26.7,23.4,75.0924,37.5776,126.938,1.7678,5868.875,27.6,23.7,4/7/2013
27.6,23.7,146.554,37.6181,127.004,4.7296,5907.943359,27.4,23.9,4/7/2013
27.4,23.9,26.298,37.5507,127.04,0.5721,5834.452148,28,24.3,4/7/2013
28,24.3,21.9668,37.5102,127.086,0.1332,5827.82959,27.6,24.1,4/7/2013
27.6,24.1,15.5876,37.5372,126.891,0.1554,5826.388184,27.5,24.1,4/7/2013
27.5,24.1,17.2956,37.5237,126.909,0.2223,5825.258301,27.5,24.3,4/7/2013
27.5,24.3,19.5844,37.5237,126.97,0.2713,5830.20752,27.8,19.9,4/7/2013
27.8,19.9,212.335,37.6046,126.991,2.785,5961.377441,29.6,21.7,5/7/2013
29.6,21.7,44.7624,37.6046,127.032,0.5141,5836.714844,29.9,22.2,5/7/2013
29.9,22.2,33.3068,37.5776,127.058,0.2661,5830.974609,30.2,22.8,5/7/2013
30.2,22.8,45.716,37.645,127.022,2.5348,5824.259766,32.4,22.4,5/7/2013
32.4,22.4,35.038,37.5507,127.135,0.5055,5826.661133,30.7,22.4,5/7/2013
30.7,22.4,54.6384,37.5102,127.042,0.1457,5840.882813,30.2,21.8,5/7/2013
30.2,21.8,12.37,37.5776,126.838,0.0985,5816.495605,29.6,22,5/7/2013
29.6,22,52.518,37.4697,126.91,1.5629,5830.73584,29,21.5,5/7/2013
29,21.5,50.9312,37.4967,126.826,0.4125,5844.305176,28.6,21.5,5/7/2013
28.6,21.5,208.507,37.4562,126.955,5.1782,5857.175781,30.6,22.6,5/7/2013
30.6,22.6,28.7,37.5372,127.085,0.6233,5831.660156,29.3,20.8,5/7/2013
29.3,20.8,132.118,37.5507,126.988,0.5931,5891.303711,30.7,22.6,5/7/2013
30.7,22.6,59.8324,37.5776,127.083,2.6865,5827.705078,29.8,22,5/7/2013
29.8,22,30.968,37.4967,126.927,0.618,5825.110352,29.3,21.5,5/7/2013
29.3,21.5,30.0464,37.5507,126.937,0.8552,5834.358398,28.9,21.5,5/7/2013
28.9,21.5,82.2912,37.4697,126.995,2.2579,5827.130859,30.1,22.1,5/7/2013
30.1,22.1,53.4712,37.6181,127.099,0.697,5839.571777,31.7,22.3,5/7/2013
31.7,22.3,56.4448,37.4832,127.024,1.2313,5831.559082,29.9,21.5,5/7/2013
29.9,21.5,75.0924,37.5776,126.938,1.7678,5861.256348,29.4,22,5/7/2013
29.4,22,146.554,37.6181,127.004,4.7296,5900.489746,29.8,22.1,5/7/2013
29.8,22.1,26.298,37.5507,127.04,0.5721,5826.782227,29.9,22.6,5/7/2013
29.9,22.6,21.9668,37.5102,127.086,0.1332,5820.09668,30.6,22.2,5/7/2013
30.6,22.2,15.5876,37.5372,126.891,0.1554,5818.678711,31.1,22.2,5/7/2013
31.1,22.2,17.2956,37.5237,126.909,0.2223,5817.518066,30.3,22.2,5/7/2013
30.3,22.2,19.5844,37.5237,126.97,0.2713,5822.532715,27.6,19.6,5/7/2013
27.6,19.6,212.335,37.6046,126.991,2.785,5953.376953,30.3,21.8,6/7/2013
30.3,21.8,44.7624,37.6046,127.032,0.5141,5828.444336,30,22.4,6/7/2013
30,22.4,33.3068,37.5776,127.058,0.2661,5822.708984,31.1,22.4,6/7/2013
31.1,22.4,45.716,37.645,127.022,2.5348,5815.985352,33.5,23,6/7/2013
33.5,23,35.038,37.5507,127.135,0.5055,5818.317383,30.5,22.3,6/7/2013
30.5,22.3,54.6384,37.5102,127.042,0.1457,5832.537598,30.1,20.7,6/7/2013
30.1,20.7,12.37,37.5776,126.838,0.0985,5808.19043,29.4,21.2,6/7/2013
29.4,21.2,52.518,37.4697,126.91,1.5629,5822.300781,28.8,20.2,6/7/2013
28.8,20.2,50.9312,37.4967,126.826,0.4125,5836.035645,28.4,20.5,6/7/2013
28.4,20.5,208.507,37.4562,126.955,5.1782,5847.944824,30.5,22.7,6/7/2013
30.5,22.7,28.7,37.5372,127.085,0.6233,5823.45459,30.9,20.7,6/7/2013
30.9,20.7,132.118,37.5507,126.988,0.5931,5882.926758,31.3,23,6/7/2013
31.3,23,59.8324,37.5776,127.083,2.6865,5819.253906,30,21.3,6/7/2013
30,21.3,30.968,37.4967,126.927,0.618,5816.779785,29.2,20.6,6/7/2013
29.2,20.6,30.0464,37.5507,126.937,0.8552,5826.164063,28.9,20.7,6/7/2013
28.9,20.7,82.2912,37.4697,126.995,2.2579,5818.445801,30.8,21.4,6/7/2013
30.8,21.4,53.4712,37.6181,127.099,0.697,5831.25,31.3,22.3,6/7/2013
31.3,22.3,56.4448,37.4832,127.024,1.2313,5823.089355,29.9,20.9,6/7/2013
29.9,20.9,75.0924,37.5776,126.938,1.7678,5853.055664,29.7,21.5,6/7/2013
29.7,21.5,146.554,37.6181,127.004,4.7296,5892.493652,30,22.4,6/7/2013
30,22.4,26.298,37.5507,127.04,0.5721,5818.526855,30.6,22.7,6/7/2013
30.6,22.7,21.9668,37.5102,127.086,0.1332,5811.774414,30.2,21.1,6/7/2013
30.2,21.1,15.5876,37.5372,126.891,0.1554,5810.380859,29.9,21.4,6/7/2013
29.9,21.4,17.2956,37.5237,126.909,0.2223,5809.1875,30.8,22,6/7/2013
30.8,22,19.5844,37.5237,126.97,0.2713,5814.271973,25.9,20.1,6/7/2013
25.9,20.1,212.335,37.6046,126.991,2.785,5944.778809,28.5,20.9,7/7/2013
28.5,20.9,44.7624,37.6046,127.032,0.5141,5819.559082,28.5,23,7/7/2013
28.5,23,33.3068,37.5776,127.058,0.2661,5813.828125,28.7,22.6,7/7/2013
28.7,22.6,45.716,37.645,127.022,2.5348,5807.132324,30.8,21.8,7/7/2013
30.8,21.8,35.038,37.5507,127.135,0.5055,5809.353027,28.1,22.8,7/7/2013
28.1,22.8,54.6384,37.5102,127.042,0.1457,5823.571289,28.8,22.2,7/7/2013
28.8,22.2,12.37,37.5776,126.838,0.0985,5799.268066,28.1,22.3,7/7/2013
28.1,22.3,52.518,37.4697,126.91,1.5629,5813.237305,27.7,20.7,7/7/2013
27.7,20.7,50.9312,37.4967,126.826,0.4125,5827.150391,28,20.1,7/7/2013
28,20.1,208.507,37.4562,126.955,5.1782,5838.026855,28.6,23,7/7/2013
28.6,23,28.7,37.5372,127.085,0.6233,5814.638184,27,21.2,7/7/2013
27,21.2,132.118,37.5507,126.988,0.5931,5873.924316,28.3,23.3,7/7/2013
28.3,23.3,59.8324,37.5776,127.083,2.6865,5810.170898,29,22,7/7/2013
29,22,30.968,37.4967,126.927,0.618,5807.829102,28.6,21.8,7/7/2013
28.6,21.8,30.0464,37.5507,126.937,0.8552,5817.358398,28.5,20.2,7/7/2013
28.5,20.2,82.2912,37.4697,126.995,2.2579,5809.117188,28.1,20.4,7/7/2013
28.1,20.4,53.4712,37.6181,127.099,0.697,5822.308105,30.1,23,7/7/2013
30.1,23,56.4448,37.4832,127.024,1.2313,5813.991211,28.5,20.7,7/7/2013
28.5,20.7,75.0924,37.5776,126.938,1.7678,5844.241699,28.2,21.5,7/7/2013
28.2,21.5,146.554,37.6181,127.004,4.7296,5883.891602,28,23,7/7/2013
28,23,26.298,37.5507,127.04,0.5721,5809.657715,29.1,22.9,7/7/2013
29.1,22.9,21.9668,37.5102,127.086,0.1332,5802.83252,29.4,22.7,7/7/2013
29.4,22.7,15.5876,37.5372,126.891,0.1554,5801.46582,29.4,22.8,7/7/2013
29.4,22.8,17.2956,37.5237,126.909,0.2223,5800.236816,29.3,22.9,7/7/2013
29.3,22.9,19.5844,37.5237,126.97,0.2713,5805.396484,23.1,20.5,7/7/2013
23.1,20.5,212.335,37.6046,126.991,2.785,5935.615234,24.8,22.3,8/7/2013
24.8,22.3,44.7624,37.6046,127.032,0.5141,5810.09082,26.1,23.2,8/7/2013
26.1,23.2,33.3068,37.5776,127.058,0.2661,5804.364746,26.3,22.8,8/7/2013
26.3,22.8,45.716,37.645,127.022,2.5348,5797.602539,26.3,23.3,8/7/2013
26.3,23.3,35.038,37.5507,127.135,0.5055,5799.800781,26.8,23.5,8/7/2013
26.8,23.5,54.6384,37.5102,127.042,0.1457,5814.017578,25.8,22.5,8/7/2013
25.8,22.5,12.37,37.5776,126.838,0.0985,5789.760742,26.3,23.2,8/7/2013
26.3,23.2,52.518,37.4697,126.91,1.5629,5803.580566,25.3,22.2,8/7/2013
25.3,22.2,50.9312,37.4967,126.826,0.4125,5817.682617,25.1,23,8/7/2013
25.1,23,208.507,37.4562,126.955,5.1782,5827.465332,27,23.6,8/7/2013
27,23.6,28.7,37.5372,127.085,0.6233,5805.242676,24.5,21.7,8/7/2013
24.5,21.7,132.118,37.5507,126.988,0.5931,5864.33252,26.8,23.5,8/7/2013
26.8,23.5,59.8324,37.5776,127.083,2.6865,5800.494629,26.2,22.8,8/7/2013
26.2,22.8,30.968,37.4967,126.927,0.618,5798.291504,25.4,22.3,8/7/2013
25.4,22.3,30.0464,37.5507,126.937,0.8552,5807.975586,25.3,22.8,8/7/2013
25.3,22.8,82.2912,37.4697,126.995,2.2579,5799.178711,26,22.3,8/7/2013
26,22.3,53.4712,37.6181,127.099,0.697,5812.780273,26.9,23.7,8/7/2013
26.9,23.7,56.4448,37.4832,127.024,1.2313,5804.297363,25.4,22.2,8/7/2013
25.4,22.2,75.0924,37.5776,126.938,1.7678,5834.849609,25.6,22.4,8/7/2013
25.6,22.4,146.554,37.6181,127.004,4.7296,5874.696777,26.4,23,8/7/2013
26.4,23,26.298,37.5507,127.04,0.5721,5800.206543,26.7,23.8,8/7/2013
26.7,23.8,21.9668,37.5102,127.086,0.1332,5793.305176,26.3,23.1,8/7/2013
26.3,23.1,15.5876,37.5372,126.891,0.1554,5791.966309,26.5,22.7,8/7/2013
26.5,22.7,17.2956,37.5237,126.909,0.2223,5790.700195,26.7,23.1,8/7/2013
26.7,23.1,19.5844,37.5237,126.97,0.2713,5795.938965,26.9,23.2,8/7/2013
26.9,23.2,44.7624,37.6046,127.032,0.5141,5800.038574,26.9,23.5,9/7/2013
26.9,23.5,33.3068,37.5776,127.058,0.2661,5794.317871,27.1,23.8,9/7/2013
27.1,23.8,45.716,37.645,127.022,2.5348,5787.545898,27.5,23.8,9/7/2013
27.5,23.8,35.038,37.5507,127.135,0.5055,5789.660645,27.8,24.2,9/7/2013
27.8,24.2,54.6384,37.5102,127.042,0.1457,5803.875,25.6,23.6,9/7/2013
25.6,23.6,12.37,37.5776,126.838,0.0985,5779.666992,26.9,23.8,9/7/2013
26.9,23.8,52.518,37.4697,126.91,1.5629,5793.330078,26,23.1,9/7/2013
26,23.1,50.9312,37.4967,126.826,0.4125,5807.630859,26.4,23.6,9/7/2013
26.4,23.6,208.507,37.4562,126.955,5.1782,5816.259766,27.7,24.2,9/7/2013
27.7,24.2,28.7,37.5372,127.085,0.6233,5795.268066,25.1,22.7,9/7/2013
25.1,22.7,132.118,37.5507,126.988,0.5931,5854.149902,27.3,23.8,9/7/2013
27.3,23.8,59.8324,37.5776,127.083,2.6865,5790.223633,26.8,23.5,9/7/2013
26.8,23.5,30.968,37.4967,126.927,0.618,5788.166992,25.8,23.2,9/7/2013
25.8,23.2,30.0464,37.5507,126.937,0.8552,5798.013184,27.4,23.3,9/7/2013
27.4,23.3,82.2912,37.4697,126.995,2.2579,5788.630371,26.7,23.4,9/7/2013
26.7,23.4,53.4712,37.6181,127.099,0.697,5802.665527,28.2,24.1,9/7/2013
28.2,24.1,56.4448,37.4832,127.024,1.2313,5794.006836,25.2,23.4,9/7/2013
25.2,23.4,75.0924,37.5776,126.938,1.7678,5824.878906,26,23.6,9/7/2013
26,23.6,146.554,37.6181,127.004,4.7296,5864.960449,26.9,23.5,9/7/2013
26.9,23.5,26.298,37.5507,127.04,0.5721,5790.172852,28,24,9/7/2013
28,24,21.9668,37.5102,127.086,0.1332,5783.19043,26.3,23.8,9/7/2013
26.3,23.8,15.5876,37.5372,126.891,0.1554,5781.881348,26.5,23.8,9/7/2013
26.5,23.8,17.2956,37.5237,126.909,0.2223,5780.575684,26.8,23.9,9/7/2013
26.8,23.9,19.5844,37.5237,126.97,0.2713,5785.897949,23.3,22,9/7/2013
23.3,22,212.335,37.6046,126.991,2.785,5915.583496,25.7,23.8,10/7/2013
25.7,23.8,44.7624,37.6046,127.032,0.5141,5789.401367,26.2,24.5,10/7/2013
26.2,24.5,33.3068,37.5776,127.058,0.2661,5783.686035,26.7,24.9,10/7/2013
26.7,24.9,45.716,37.645,127.022,2.5348,5776.879395,26.5,24.6,10/7/2013
26.5,24.6,35.038,37.5507,127.135,0.5055,5778.930664,27.1,25.1,10/7/2013
27.1,25.1,54.6384,37.5102,127.042,0.1457,5793.142578,25.9,24.5,10/7/2013
25.9,24.5,12.37,37.5776,126.838,0.0985,5768.986328,26.5,24.9,10/7/2013
26.5,24.9,52.518,37.4697,126.91,1.5629,5782.484375,25.6,23.8,10/7/2013
25.6,23.8,50.9312,37.4967,126.826,0.4125,5796.993652,25.9,24.5,10/7/2013
25.9,24.5,208.507,37.4562,126.955,5.1782,5804.408691,26.8,24.8,10/7/2013
26.8,24.8,28.7,37.5372,127.085,0.6233,5784.711914,25,23.1,10/7/2013
25,23.1,132.118,37.5507,126.988,0.5931,5843.375488,26.6,24.8,10/7/2013
26.6,24.8,59.8324,37.5776,127.083,2.6865,5779.356934,26.3,24.5,10/7/2013
26.3,24.5,30.968,37.4967,126.927,0.618,5777.453613,25.5,24,10/7/2013
25.5,24,30.0464,37.5507,126.937,0.8552,5787.470703,26.4,24.3,10/7/2013
26.4,24.3,82.2912,37.4697,126.995,2.2579,5777.470215,26.1,23.7,10/7/2013
26.1,23.7,53.4712,37.6181,127.099,0.697,5791.961914,27.5,25,10/7/2013
27.5,25,56.4448,37.4832,127.024,1.2313,5783.118164,25.6,24.2,10/7/2013
25.6,24.2,75.0924,37.5776,126.938,1.7678,5814.327148,25.8,24.2,10/7/2013
25.8,24.2,146.554,37.6181,127.004,4.7296,5854.641602,26.2,24.7,10/7/2013
26.2,24.7,26.298,37.5507,127.04,0.5721,5779.554199,26.4,24.9,10/7/2013
26.4,24.9,15.5876,37.5372,126.891,0.1554,5771.209473,26.6,24.9,10/7/2013
26.6,24.9,17.2956,37.5237,126.909,0.2223,5769.862305,26.8,25.2,10/7/2013
26.8,25.2,19.5844,37.5237,126.97,0.2713,5775.272461,22.4,21.7,10/7/2013
22.4,21.7,212.335,37.6046,126.991,2.785,5904.711426,25.2,23.8,11/7/2013
25.2,23.8,44.7624,37.6046,127.032,0.5141,5778.17627,25.5,23.9,11/7/2013
25.5,23.9,33.3068,37.5776,127.058,0.2661,5772.467285,25.6,24.4,11/7/2013
25.6,24.4,45.716,37.645,127.022,2.5348,5765.659668,25.6,24.3,11/7/2013
25.6,24.3,35.038,37.5507,127.135,0.5055,5767.609375,26.1,24.6,11/7/2013
26.1,24.6,54.6384,37.5102,127.042,0.1457,5781.818359,25.1,23.8,11/7/2013
25.1,23.8,12.37,37.5776,126.838,0.0985,5757.716309,25.6,24.8,11/7/2013
25.6,24.8,52.518,37.4697,126.91,1.5629,5771.041504,24.6,23.6,11/7/2013
24.6,23.6,50.9312,37.4967,126.826,0.4125,5785.769043,24.9,23.9,11/7/2013
24.9,23.9,208.507,37.4562,126.955,5.1782,5791.912598,25.9,24.5,11/7/2013
25.9,24.5,28.7,37.5372,127.085,0.6233,5773.572754,24.2,22.8,11/7/2013
24.2,22.8,132.118,37.5507,126.988,0.5931,5832.006836,25.7,24.4,11/7/2013
25.7,24.4,59.8324,37.5776,127.083,2.6865,5767.892578,25.7,23.8,11/7/2013
25.7,23.8,30.968,37.4967,126.927,0.618,5766.149414,24.5,23.4,11/7/2013
24.5,23.4,30.0464,37.5507,126.937,0.8552,5776.346191,25.1,24.1,11/7/2013
25.1,24.1,82.2912,37.4697,126.995,2.2579,5765.697754,25.4,23.8,11/7/2013
25.4,23.8,53.4712,37.6181,127.099,0.697,5780.668945,26.1,24.9,11/7/2013
26.1,24.9,56.4448,37.4832,127.024,1.2313,5771.630371,24.7,23.5,11/7/2013
24.7,23.5,75.0924,37.5776,126.938,1.7678,5803.192871,24.8,23.8,11/7/2013
24.8,23.8,146.554,37.6181,127.004,4.7296,5843.765625,25.4,23.8,11/7/2013
25.4,23.8,26.298,37.5507,127.04,0.5721,5768.349609,25.9,24.2,11/7/2013
25.9,24.2,21.9668,37.5102,127.086,0.1332,5761.193848,25.4,24.4,11/7/2013
25.4,24.4,15.5876,37.5372,126.891,0.1554,5759.94873,25.6,24.6,11/7/2013
25.6,24.6,17.2956,37.5237,126.909,0.2223,5758.557617,25.8,24.6,11/7/2013
