Present_Tmax,Present_Tmin,lat,lon,DEM,Slope,Solar_radiation,Act_Next_Tmax,Act_Next_Tmin
31.5,23.5,37.5372,126.891,15.5876,0.1554,5846.012695,30.9,24
30.9,24,37.5237,126.909,17.2956,0.2223,5844.961914,31.5,24.2
31.5,24.2,37.5237,126.97,19.5844,0.2713,5849.743164,24.4,20.6
24.4,20.6,37.6046,126.991,212.335,2.785,5981.979492,27,22.4
27,22.4,37.6046,127.032,44.7624,0.5141,5858.019043,28,22.6
28,22.6,37.5776,127.058,33.3068,0.2661,5852.268066,27.7,22.9
27.7,22.9,37.645,127.022,45.716,2.5348,5845.616211,27.8,22.5
27.8,22.5,37.5507,127.135,35.038,0.5055,5848.15625,28.8,23.1
28.8,23.1,37.5102,127.042,54.6384,0.1457,5862.382813,27.6,23
27.6,23,37.5776,126.838,12.37,0.0985,5837.890625,27.8,23.2
27.8,23.2,37.4697,126.91,52.518,1.5629,5852.468262,26.9,22.1
26.9,22.1,37.4967,126.826,50.9312,0.4125,5865.608398,27.5,22.5
27.5,22.5,37.4562,126.955,208.507,5.1782,5880.977539,28.6,23.2
28.6,23.2,37.5372,127.085,28.7,0.6233,5852.796875,26.2,21.6
26.2,21.6,37.5507,126.988,132.118,0.5931,5912.88623,28.4,23.2
28.4,23.2,37.5776,127.083,59.8324,2.6865,5849.480469,27.6,22.4
27.6,22.4,37.4967,126.927,30.968,0.618,5846.571777,26.7,22.4
26.7,22.4,37.5507,126.937,30.0464,0.8552,5855.466797,27.5,22.3
27.5,22.3,37.4697,126.995,82.2912,2.2579,5849.513184,27.5,22.1
27.5,22.1,37.6181,127.099,53.4712,0.697,5861.010254,29,23.1
29,23.1,37.4832,127.024,56.4448,1.2313,5853.381836,26.6,22.3
26.6,22.3,37.5776,126.938,75.0924,1.7678,5882.380371,27.1,22.6
27.1,22.6,37.6181,127.004,146.554,4.7296,5921.158691,28.1,22.8
28.1,22.8,37.5507,127.04,26.298,0.5721,5848.048828,29,23.1
29,23.1,37.5102,127.086,21.9668,0.1332,5841.537598,27.9,23
27.9,23,37.5372,126.891,15.5876,0.1554,5840.055176,27.9,23.1
27.9,23.1,37.5237,126.909,17.2956,0.2223,5838.980469,28.5,23
28.5,23,37.5237,126.97,19.5844,0.2713,5843.812988,27.9,17.9
27.9,17.9,37.6046,126.991,212.335,2.785,5975.67627,30.4,20.4
30.4,20.4,37.6046,127.032,44.7624,0.5141,5851.499512,30.7,20.8
30.7,20.8,37.5776,127.058,33.3068,0.2661,5845.751465,30.7,20.9
30.7,20.9,37.645,127.022,45.716,2.5348,5839.094727,30.5,20.9
30.5,20.9,37.5507,127.135,35.038,0.5055,5841.578125,30.5,20.9
30.5,20.9,37.5102,127.042,54.6384,0.1457,5855.803223,29.1,20.1
29.1,20.1,37.5776,126.838,12.37,0.0985,5831.343262,28.9,20.4
28.9,20.4,37.4697,126.91,52.518,1.5629,5845.816895,29.4,19.5
29.4,19.5,37.4967,126.826,50.9312,0.4125,5859.089355,28.7,19.3
28.7,19.3,37.4562,126.955,208.507,5.1782,5873.69043,31.6,21.3
31.6,21.3,37.5372,127.085,28.7,0.6233,5846.328613,30.8,18.9
30.8,18.9,37.5507,126.988,132.118,0.5931,5906.28125,31.1,21.1
31.1,21.1,37.5776,127.083,59.8324,2.6865,5842.81543,29.5,20.3
29.5,20.3,37.4967,126.927,30.968,0.618,5840.003906,29.6,19.8
29.6,19.8,37.5507,126.937,30.0464,0.8552,5849.007324,29.4,19
29.4,19,37.4697,126.995,82.2912,2.2579,5842.662598,30.8,20.6
30.8,20.6,37.6181,127.099,53.4712,0.697,5854.449219,31.6,20.9
31.6,20.9,37.4832,127.024,56.4448,1.2313,5846.703125,30.1,19.6
30.1,19.6,37.5776,126.938,75.0924,1.7678,5875.916016,30.1,20.3
30.1,20.3,37.6181,127.004,146.554,4.7296,5914.817383,30.3,20.7
30.3,20.7,37.5507,127.04,26.298,0.5721,5841.541016,31.3,21.1
31.3,21.1,37.5102,127.086,21.9668,0.1332,5834.976074,31,20.5
31,20.5,37.5372,126.891,15.5876,0.1554,5833.513672,30.1,20.7
30.1,20.7,37.5237,126.909,17.2956,0.2223,5832.412109,30.8,20.8
30.8,20.8,37.5237,126.97,19.5844,0.2713,5837.300781,24.9,21.5
24.9,21.5,37.6046,126.991,212.335,2.785,5968.809082,28,23.3
28,23.3,37.6046,127.032,44.7624,0.5141,5844.398438,27.6,23.5
27.6,23.5,37.5776,127.058,33.3068,0.2661,5838.654297,28.2,23.8
28.2,23.8,37.645,127.022,45.716,2.5348,5832.032227,28.1,23.5
28.1,23.5,37.5507,127.135,35.038,0.5055,5834.413086,28,24.3
28,24.3,37.5102,127.042,54.6384,0.1457,5848.636719,26.9,23.9
26.9,23.9,37.5776,126.838,12.37,0.0985,5824.211914,27.1,23.9
27.1,23.9,37.4697,126.91,52.518,1.5629,5838.573242,26.9,23.5
26.9,23.5,37.4967,126.826,50.9312,0.4125,5851.988281,26.1,23.5
26.1,23.5,37.4562,126.955,208.507,5.1782,5865.756348,28.4,24.6
28.4,24.6,37.5372,127.085,28.7,0.6233,5839.283691,27.2,22.6
27.2,22.6,37.5507,126.988,132.118,0.5931,5899.087402,28.4,23.8
28.4,23.8,37.5776,127.083,59.8324,2.6865,5835.557617,27.2,23.7
27.2,23.7,37.4967,126.927,30.968,0.618,5832.850098,26.6,23.4
26.6,23.4,37.5507,126.937,30.0464,0.8552,5841.97168,26.5,23.2
26.5,23.2,37.4697,126.995,82.2912,2.2579,5835.20166,28.3,23.4
28.3,23.4,37.6181,127.099,53.4712,0.697,5847.303223,29,24
29,24,37.4832,127.024,56.4448,1.2313,5839.429199,26.7,23.4
26.7,23.4,37.5776,126.938,75.0924,1.7678,5868.875,27.6,23.7
27.6,23.7,37.6181,127.004,146.554,4.7296,5907.943359,27.4,23.9
27.4,23.9,37.5507,127.04,26.298,0.5721,5834.452148,28,24.3
28,24.3,37.5102,127.086,21.9668,0.1332,5827.82959,27.6,24.1
27.6,24.1,37.5372,126.891,15.5876,0.1554,5826.388184,27.5,24.1
27.5,24.1,37.5237,126.909,17.2956,0.2223,5825.258301,27.5,24.3
27.5,24.3,37.5237,126.97,19.5844,0.2713,5830.20752,27.8,19.9
27.8,19.9,37.6046,126.991,212.335,2.785,5961.377441,29.6,21.7
29.6,21.7,37.6046,127.032,44.7624,0.5141,5836.714844,29.9,22.2
29.9,22.2,37.5776,127.058,33.3068,0.2661,5830.974609,30.2,22.8
30.2,22.8,37.645,127.022,45.716,2.5348,5824.259766,32.4,22.4
32.4,22.4,37.5507,127.135,35.038,0.5055,5826.661133,30.7,22.4
30.7,22.4,37.5102,127.042,54.6384,0.1457,5840.882813,30.2,21.8
30.2,21.8,37.5776,126.838,12.37,0.0985,5816.495605,29.6,22
29.6,22,37.4697,126.91,52.518,1.5629,5830.73584,29,21.5
29,21.5,37.4967,126.826,50.9312,0.4125,5844.305176,28.6,21.5
28.6,21.5,37.4562,126.955,208.507,5.1782,5857.175781,30.6,22.6
30.6,22.6,37.5372,127.085,28.7,0.6233,5831.660156,29.3,20.8
29.3,20.8,37.5507,126.988,132.118,0.5931,5891.303711,30.7,22.6
30.7,22.6,37.5776,127.083,59.8324,2.6865,5827.705078,29.8,22
29.8,22,37.4967,126.927,30.968,0.618,5825.110352,29.3,21.5
29.3,21.5,37.5507,126.937,30.0464,0.8552,5834.358398,28.9,21.5
28.9,21.5,37.4697,126.995,82.2912,2.2579,5827.130859,30.1,22.1
30.1,22.1,37.6181,127.099,53.4712,0.697,5839.571777,31.7,22.3
31.7,22.3,37.4832,127.024,56.4448,1.2313,5831.559082,29.9,21.5
29.9,21.5,37.5776,126.938,75.0924,1.7678,5861.256348,29.4,22
29.4,22,37.6181,127.004,146.554,4.7296,5900.489746,29.8,22.1
29.8,22.1,37.5507,127.04,26.298,0.5721,5826.782227,29.9,22.6
29.9,22.6,37.5102,127.086,21.9668,0.1332,5820.09668,30.6,22.2
30.6,22.2,37.5372,126.891,15.5876,0.1554,5818.678711,31.1,22.2
31.1,22.2,37.5237,126.909,17.2956,0.2223,5817.518066,30.3,22.2
30.3,22.2,37.5237,126.97,19.5844,0.2713,5822.532715,27.6,19.6
27.6,19.6,37.6046,126.991,212.335,2.785,5953.376953,30.3,21.8
30.3,21.8,37.6046,127.032,44.7624,0.5141,5828.444336,30,22.4
30,22.4,37.5776,127.058,33.3068,0.2661,5822.708984,31.1,22.4
31.1,22.4,37.645,127.022,45.716,2.5348,5815.985352,33.5,23
33.5,23,37.5507,127.135,35.038,0.5055,5818.317383,30.5,22.3
30.5,22.3,37.5102,127.042,54.6384,0.1457,5832.537598,30.1,20.7
30.1,20.7,37.5776,126.838,12.37,0.0985,5808.19043,29.4,21.2
29.4,21.2,37.4697,126.91,52.518,1.5629,5822.300781,28.8,20.2
28.8,20.2,37.4967,126.826,50.9312,0.4125,5836.035645,28.4,20.5
28.4,20.5,37.4562,126.955,208.507,5.1782,5847.944824,30.5,22.7
30.5,22.7,37.5372,127.085,28.7,0.6233,5823.45459,30.9,20.7
30.9,20.7,37.5507,126.988,132.118,0.5931,5882.926758,31.3,23
31.3,23,37.5776,127.083,59.8324,2.6865,5819.253906,30,21.3
30,21.3,37.4967,126.927,30.968,0.618,5816.779785,29.2,20.6
29.2,20.6,37.5507,126.937,30.0464,0.8552,5826.164063,28.9,20.7
28.9,20.7,37.4697,126.995,82.2912,2.2579,5818.445801,30.8,21.4
30.8,21.4,37.6181,127.099,53.4712,0.697,5831.25,31.3,22.3
31.3,22.3,37.4832,127.024,56.4448,1.2313,5823.089355,29.9,20.9
29.9,20.9,37.5776,126.938,75.0924,1.7678,5853.055664,29.7,21.5
29.7,21.5,37.6181,127.004,146.554,4.7296,5892.493652,30,22.4
30,22.4,37.5507,127.04,26.298,0.5721,5818.526855,30.6,22.7
30.6,22.7,37.5102,127.086,21.9668,0.1332,5811.774414,30.2,21.1
30.2,21.1,37.5372,126.891,15.5876,0.1554,5810.380859,29.9,21.4
29.9,21.4,37.5237,126.909,17.2956,0.2223,5809.1875,30.8,22
30.8,22,37.5237,126.97,19.5844,0.2713,5814.271973,25.9,20.1
25.9,20.1,37.6046,126.991,212.335,2.785,5944.778809,28.5,20.9
28.5,20.9,37.6046,127.032,44.7624,0.5141,5819.559082,28.5,23
28.5,23,37.5776,127.058,33.3068,0.2661,5813.828125,28.7,22.6
28.7,22.6,37.645,127.022,45.716,2.5348,5807.132324,30.8,21.8
30.8,21.8,37.5507,127.135,35.038,0.5055,5809.353027,28.1,22.8
28.1,22.8,37.5102,127.042,54.6384,0.1457,5823.571289,28.8,22.2
28.8,22.2,37.5776,126.838,12.37,0.0985,5799.268066,28.1,22.3
28.1,22.3,37.4697,126.91,52.518,1.5629,5813.237305,27.7,20.7
27.7,20.7,37.4967,126.826,50.9312,0.4125,5827.150391,28,20.1
28,20.1,37.4562,126.955,208.507,5.1782,5838.026855,28.6,23
28.6,23,37.5372,127.085,28.7,0.6233,5814.638184,27,21.2
27,21.2,37.5507,126.988,132.118,0.5931,5873.924316,28.3,23.3
28.3,23.3,37.5776,127.083,59.8324,2.6865,5810.170898,29,22
29,22,37.4967,126.927,30.968,0.618,5807.829102,28.6,21.8
28.6,21.8,37.5507,126.937,30.0464,0.8552,5817.358398,28.5,20.2
28.5,20.2,37.4697,126.995,82.2912,2.2579,5809.117188,28.1,20.4
28.1,20.4,37.6181,127.099,53.4712,0.697,5822.308105,30.1,23
30.1,23,37.4832,127.024,56.4448,1.2313,5813.991211,28.5,20.7
28.5,20.7,37.5776,126.938,75.0924,1.7678,5844.241699,28.2,21.5
28.2,21.5,37.6181,127.004,146.554,4.7296,5883.891602,28,23
28,23,37.5507,127.04,26.298,0.5721,5809.657715,29.1,22.9
29.1,22.9,37.5102,127.086,21.9668,0.1332,5802.83252,29.4,22.7
29.4,22.7,37.5372,126.891,15.5876,0.1554,5801.46582,29.4,22.8
29.4,22.8,37.5237,126.909,17.2956,0.2223,5800.236816,29.3,22.9
29.3,22.9,37.5237,126.97,19.5844,0.2713,5805.396484,23.1,20.5
23.1,20.5,37.6046,126.991,212.335,2.785,5935.615234,24.8,22.3
24.8,22.3,37.6046,127.032,44.7624,0.5141,5810.09082,26.1,23.2
26.1,23.2,37.5776,127.058,33.3068,0.2661,5804.364746,26.3,22.8
26.3,22.8,37.645,127.022,45.716,2.5348,5797.602539,26.3,23.3
26.3,23.3,37.5507,127.135,35.038,0.5055,5799.800781,26.8,23.5
26.8,23.5,37.5102,127.042,54.6384,0.1457,5814.017578,25.8,22.5
25.8,22.5,37.5776,126.838,12.37,0.0985,5789.760742,26.3,23.2
26.3,23.2,37.4697,126.91,52.518,1.5629,5803.580566,25.3,22.2
25.3,22.2,37.4967,126.826,50.9312,0.4125,5817.682617,25.1,23
25.1,23,37.4562,126.955,208.507,5.1782,5827.465332,27,23.6
27,23.6,37.5372,127.085,28.7,0.6233,5805.242676,24.5,21.7
24.5,21.7,37.5507,126.988,132.118,0.5931,5864.33252,26.8,23.5
26.8,23.5,37.5776,127.083,59.8324,2.6865,5800.494629,26.2,22.8
26.2,22.8,37.4967,126.927,30.968,0.618,5798.291504,25.4,22.3
25.4,22.3,37.5507,126.937,30.0464,0.8552,5807.975586,25.3,22.8
25.3,22.8,37.4697,126.995,82.2912,2.2579,5799.178711,26,22.3
26,22.3,37.6181,127.099,53.4712,0.697,5812.780273,26.9,23.7
26.9,23.7,37.4832,127.024,56.4448,1.2313,5804.297363,25.4,22.2
25.4,22.2,37.5776,126.938,75.0924,1.7678,5834.849609,25.6,22.4
25.6,22.4,37.6181,127.004,146.554,4.7296,5874.696777,26.4,23
26.4,23,37.5507,127.04,26.298,0.5721,5800.206543,26.7,23.8
26.7,23.8,37.5102,127.086,21.9668,0.1332,5793.305176,26.3,23.1
26.3,23.1,37.5372,126.891,15.5876,0.1554,5791.966309,26.5,22.7
26.5,22.7,37.5237,126.909,17.2956,0.2223,5790.700195,26.7,23.1
26.7,23.1,37.5237,126.97,19.5844,0.2713,5795.938965,26.9,23.2
26.9,23.2,37.6046,127.032,44.7624,0.5141,5800.038574,26.9,23.5
26.9,23.5,37.5776,127.058,33.3068,0.2661,5794.317871,27.1,23.8
27.1,23.8,37.645,127.022,45.716,2.5348,5787.545898,27.5,23.8
27.5,23.8,37.5507,127.135,35.038,0.5055,5789.660645,27.8,24.2
27.8,24.2,37.5102,127.042,54.6384,0.1457,5803.875,25.6,23.6
25.6,23.6,37.5776,126.838,12.37,0.0985,5779.666992,26.9,23.8
26.9,23.8,37.4697,126.91,52.518,1.5629,5793.330078,26,23.1
26,23.1,37.4967,126.826,50.9312,0.4125,5807.630859,26.4,23.6
26.4,23.6,37.4562,126.955,208.507,5.1782,5816.259766,27.7,24.2
27.7,24.2,37.5372,127.085,28.7,0.6233,5795.268066,25.1,22.7
25.1,22.7,37.5507,126.988,132.118,0.5931,5854.149902,27.3,23.8
27.3,23.8,37.5776,127.083,59.8324,2.6865,5790.223633,26.8,23.5
26.8,23.5,37.4967,126.927,30.968,0.618,5788.166992,25.8,23.2
25.8,23.2,37.5507,126.937,30.0464,0.8552,5798.013184,27.4,23.3
27.4,23.3,37.4697,126.995,82.2912,2.2579,5788.630371,26.7,23.4
26.7,23.4,37.6181,127.099,53.4712,0.697,5802.665527,28.2,24.1
28.2,24.1,37.4832,127.024,56.4448,1.2313,5794.006836,25.2,23.4
25.2,23.4,37.5776,126.938,75.0924,1.7678,5824.878906,26,23.6
26,23.6,37.6181,127.004,146.554,4.7296,5864.960449,26.9,23.5
26.9,23.5,37.5507,127.04,26.298,0.5721,5790.172852,28,24
28,24,37.5102,127.086,21.9668,0.1332,5783.19043,26.3,23.8
26.3,23.8,37.5372,126.891,15.5876,0.1554,5781.881348,26.5,23.8
26.5,23.8,37.5237,126.909,17.2956,0.2223,5780.575684,26.8,23.9
26.8,23.9,37.5237,126.97,19.5844,0.2713,5785.897949,23.3,22
23.3,22,37.6046,126.991,212.335,2.785,5915.583496,25.7,23.8
25.7,23.8,37.6046,127.032,44.7624,0.5141,5789.401367,26.2,24.5
26.2,24.5,37.5776,127.058,33.3068,0.2661,5783.686035,26.7,24.9
26.7,24.9,37.645,127.022,45.716,2.5348,5776.879395,26.5,24.6
26.5,24.6,37.5507,127.135,35.038,0.5055,5778.930664,27.1,25.1
27.1,25.1,37.5102,127.042,54.6384,0.1457,5793.142578,25.9,24.5
25.9,24.5,37.5776,126.838,12.37,0.0985,5768.986328,26.5,24.9
26.5,24.9,37.4697,126.91,52.518,1.5629,5782.484375,25.6,23.8
25.6,23.8,37.4967,126.826,50.9312,0.4125,5796.993652,25.9,24.5
25.9,24.5,37.4562,126.955,208.507,5.1782,5804.408691,26.8,24.8
26.8,24.8,37.5372,127.085,28.7,0.6233,5784.711914,25,23.1
25,23.1,37.5507,126.988,132.118,0.5931,5843.375488,26.6,24.8
26.6,24.8,37.5776,127.083,59.8324,2.6865,5779.356934,26.3,24.5
26.3,24.5,37.4967,126.927,30.968,0.618,5777.453613,25.5,24
25.5,24,37.5507,126.937,30.0464,0.8552,5787.470703,26.4,24.3
26.4,24.3,37.4697,126.995,82.2912,2.2579,5777.470215,26.1,23.7
26.1,23.7,37.6181,127.099,53.4712,0.697,5791.961914,27.5,25
27.5,25,37.4832,127.024,56.4448,1.2313,5783.118164,25.6,24.2
25.6,24.2,37.5776,126.938,75.0924,1.7678,5814.327148,25.8,24.2
25.8,24.2,37.6181,127.004,146.554,4.7296,5854.641602,26.2,24.7
26.2,24.7,37.5507,127.04,26.298,0.5721,5779.554199,26.4,24.9
26.4,24.9,37.5372,126.891,15.5876,0.1554,5771.209473,26.6,24.9
26.6,24.9,37.5237,126.909,17.2956,0.2223,5769.862305,26.8,25.2
26.8,25.2,37.5237,126.97,19.5844,0.2713,5775.272461,22.4,21.7
22.4,21.7,37.6046,126.991,212.335,2.785,5904.711426,25.2,23.8
25.2,23.8,37.6046,127.032,44.7624,0.5141,5778.17627,25.5,23.9
25.5,23.9,37.5776,127.058,33.3068,0.2661,5772.467285,25.6,24.4
25.6,24.4,37.645,127.022,45.716,2.5348,5765.659668,25.6,24.3
25.6,24.3,37.5507,127.135,35.038,0.5055,5767.609375,26.1,24.6
26.1,24.6,37.5102,127.042,54.6384,0.1457,5781.818359,25.1,23.8
25.1,23.8,37.5776,126.838,12.37,0.0985,5757.716309,25.6,24.8
25.6,24.8,37.4697,126.91,52.518,1.5629,5771.041504,24.6,23.6
24.6,23.6,37.4967,126.826,50.9312,0.4125,5785.769043,24.9,23.9
24.9,23.9,37.4562,126.955,208.507,5.1782,5791.912598,25.9,24.5
25.9,24.5,37.5372,127.085,28.7,0.6233,5773.572754,24.2,22.8
24.2,22.8,37.5507,126.988,132.118,0.5931,5832.006836,25.7,24.4
25.7,24.4,37.5776,127.083,59.8324,2.6865,5767.892578,25.7,23.8
25.7,23.8,37.4967,126.927,30.968,0.618,5766.149414,24.5,23.4
24.5,23.4,37.5507,126.937,30.0464,0.8552,5776.346191,25.1,24.1
25.1,24.1,37.4697,126.995,82.2912,2.2579,5765.697754,25.4,23.8
25.4,23.8,37.6181,127.099,53.4712,0.697,5780.668945,26.1,24.9
26.1,24.9,37.4832,127.024,56.4448,1.2313,5771.630371,24.7,23.5
24.7,23.5,37.5776,126.938,75.0924,1.7678,5803.192871,24.8,23.8
24.8,23.8,37.6181,127.004,146.554,4.7296,5843.765625,25.4,23.8
25.4,23.8,37.5507,127.04,26.298,0.5721,5768.349609,25.9,24.2
25.9,24.2,37.5102,127.086,21.9668,0.1332,5761.193848,25.4,24.4
25.4,24.4,37.5372,126.891,15.5876,0.1554,5759.94873,25.6,24.6
25.6,24.6,37.5237,126.909,17.2956,0.2223,5758.557617,25.8,24.6
25.8,24.6,37.5237,126.97,19.5844,0.2713,5764.060547,24.3,23
24.3,23,37.6046,127.032,44.7624,0.5141,5766.341309,24.7,23.1
24.7,23.1,37.5776,127.058,33.3068,0.2661,5760.659668,24.6,23.6
24.6,23.6,37.645,127.022,45.716,2.5348,5753.800293,25,23.4
25,23.4,37.5507,127.135,35.038,0.5055,5755.694336,25.4,24
25.4,24,37.5102,127.042,54.6384,0.1457,5769.900879,24.2,23.3
24.2,23.3,37.5776,126.838,12.37,0.0985,5745.85498,24.6,23.7
24.6,23.7,37.4697,126.91,52.518,1.5629,5759,23.6,22.8
23.6,22.8,37.4967,126.826,50.9312,0.4125,5773.955566,24.1,23.2
24.1,23.2,37.4562,126.955,208.507,5.1782,5778.769531,25.4,23.7
25.4,23.7,37.5372,127.085,28.7,0.6233,5761.848633,23,21.9
23,21.9,37.5507,126.988,132.118,0.5931,5820.04248,25.2,23.5
25.2,23.5,37.5776,127.083,59.8324,2.6865,5755.828613,24.5,23.4
24.5,23.4,37.4967,126.927,30.968,0.618,5754.252441,23.7,22.9
23.7,22.9,37.5507,126.937,30.0464,0.8552,5764.636719,24.3,22.8
24.3,22.8,37.4697,126.995,82.2912,2.2579,5753.311035,24.6,23.1
24.6,23.1,37.6181,127.099,53.4712,0.697,5768.783203,25.4,24.1
25.4,24.1,37.4832,127.024,56.4448,1.2313,5759.541016,23.8,22.9
23.8,22.9,37.5776,126.938,75.0924,1.7678,5791.473633,23.8,23.2
23.8,23.2,37.6181,127.004,146.554,4.7296,5832.299316,24.7,23.5
24.7,23.5,37.5507,127.04,26.298,0.5721,5756.556641,25.4,23.9
25.4,23.9,37.5102,127.086,21.9668,0.1332,5749.308594,24.7,23.8
24.7,23.8,37.5372,126.891,15.5876,0.1554,5748.097656,24.7,23.9
24.7,23.9,37.5237,126.909,17.2956,0.2223,5746.661133,24.9,24
24.9,24,37.5237,126.97,19.5844,0.2713,5752.260254,22.9,20.5
22.9,20.5,37.6046,126.991,212.335,2.785,5881.220703,25.2,22.2
25.2,22.2,37.6046,127.032,44.7624,0.5141,5753.916504,25.3,22.5
25.3,22.5,37.5776,127.058,33.3068,0.2661,5748.237793,26,22.3
26,22.3,37.645,127.022,45.716,2.5348,5741.361328,25.9,22.5
25.9,22.5,37.5507,127.135,35.038,0.5055,5743.159668,26.1,22.8
26.1,22.8,37.5102,127.042,54.6384,0.1457,5757.363281,25.7,22.2
25.7,22.2,37.5776,126.838,12.37,0.0985,5733.377441,25.8,23.2
25.8,23.2,37.4697,126.91,52.518,1.5629,5746.33252,25.2,22.5
25.2,22.5,37.4967,126.826,50.9312,0.4125,5761.527344,25.3,22.8
25.3,22.8,37.4562,126.955,208.507,5.1782,5764.948242,25.7,22.9
25.7,22.9,37.5372,127.085,28.7,0.6233,5749.513672,24.9,21.8
24.9,21.8,37.5507,126.988,132.118,0.5931,5807.455078,25.8,22.9
25.8,22.9,37.5776,127.083,59.8324,2.6865,5743.13623,25.6,22.9
25.6,22.9,37.4967,126.927,30.968,0.618,5741.736816,25.2,21.9
25.2,21.9,37.5507,126.937,30.0464,0.8552,5752.317383,25.4,22.2
25.4,22.2,37.4697,126.995,82.2912,2.2579,5740.28418,25.1,22.3
25.1,22.3,37.6181,127.099,53.4712,0.697,5756.279297,25.8,22.8
25.8,22.8,37.4832,127.024,56.4448,1.2313,5746.825195,25.1,22.1
25.1,22.1,37.5776,126.938,75.0924,1.7678,5779.14209,25.6,22.4
25.6,22.4,37.6181,127.004,146.554,4.7296,5820.243164,25.3,22.7
25.3,22.7,37.5507,127.04,26.298,0.5721,5744.150391,26.1,22.8
26.1,22.8,37.5102,127.086,21.9668,0.1332,5736.805176,26.2,22.6
26.2,22.6,37.5372,126.891,15.5876,0.1554,5735.630371,26,22.5
26,22.5,37.5237,126.909,17.2956,0.2223,5734.145996,25.8,23
25.8,23,37.5237,126.97,19.5844,0.2713,5739.846191,23.1,21.3
23.1,21.3,37.6046,126.991,212.335,2.785,5868.59668,25.5,23.3
25.5,23.3,37.6046,127.032,44.7624,0.5141,5740.896484,25.4,23
25.4,23,37.5776,127.058,33.3068,0.2661,5735.222656,25.7,23.8
