Actual_Next_Tmin,Predicted_Next_Tmin,Actual_Next_Tmax,Predicted_Next_Tmax,Date,id
22.4,22.225867743,25.6,25.826918796,8/7/2013,218
23,23.009065524,26.4,26.613701100,8/7/2013,219
23.8,22.694480142,26.7,26.362062820,8/7/2013,220
23.1,23.341516738,26.3,26.598076141,8/7/2013,221
22.7,22.299565429,26.5,25.913370159,8/7/2013,222
23.1,21.937989003,26.7,26.074253025,8/7/2013,223
23.2,22.460783837,26.9,26.384687884,8/7/2013,224
23.5,23.455484762,26.9,27.357755818,9/7/2013,225
23.8,23.529846321,27.1,27.171676478,9/7/2013,226
23.8,23.652428460,27.5,27.161939217,9/7/2013,227
24.2,23.814283481,27.8,27.698783809,9/7/2013,228
23.6,24.098057511,25.6,28.062967131,9/7/2013,229
23.8,22.764281086,26.9,25.325232852,9/7/2013,230
23.1,22.743389579,26,26.409842671,9/7/2013,231
23.6,22.331068254,26.4,25.845857152,9/7/2013,232
24.2,23.813382680,27.7,27.446884130,9/7/2013,233
22.7,23.850915161,25.1,27.612148270,9/7/2013,234
23.8,23.741125434,27.3,26.754173044,9/7/2013,235
23.5,23.590033421,26.8,27.336450538,9/7/2013,236
23.2,22.622657248,25.8,26.378696559,9/7/2013,237
23.3,22.563275100,27.4,25.622552049,9/7/2013,238
23.4,22.777518536,26.7,27.289206509,9/7/2013,239
24.1,23.930415103,28.2,27.431085541,9/7/2013,240
23.4,23.567416251,25.2,28.012864552,9/7/2013,241
23.6,23.251877353,26,25.652883642,9/7/2013,242
23.5,24.065971158,26.9,26.993817240,9/7/2013,243
24,23.151946622,28,26.828691726,9/7/2013,244
23.8,23.581065488,26.3,27.801083838,9/7/2013,245
23.8,22.904025383,26.5,25.919873520,9/7/2013,246
23.9,22.887925236,26.8,26.084111459,9/7/2013,247
22,23.156762380,23.3,26.484387631,9/7/2013,248
23.8,23.900609230,25.7,25.993577569,10/7/2013,249
24.5,23.911782445,26.2,26.255123717,10/7/2013,250
24.9,24.357365115,26.7,26.534201684,10/7/2013,251
24.6,24.581762585,26.5,26.802387796,10/7/2013,252
25.1,24.453616114,27.1,26.782555877,10/7/2013,253
24.5,24.839205873,25.9,27.424660539,10/7/2013,254
24.9,23.556918643,26.5,25.610533132,10/7/2013,255
23.8,23.672721494,25.6,26.050302557,10/7/2013,256
24.5,22.914925974,25.9,25.482951305,10/7/2013,257
24.8,24.564814955,26.8,26.993370151,10/7/2013,258
23.1,24.322660410,25,26.786594095,10/7/2013,259
24.8,24.081320453,26.6,26.665844462,10/7/2013,260
24.5,24.417549318,26.3,26.698990563,10/7/2013,261
24,23.460472748,25.5,25.925948938,10/7/2013,262
24.3,23.238652035,26.4,25.352839382,10/7/2013,263
23.7,23.589584247,26.1,26.374682010,10/7/2013,264
25,24.158497525,27.5,26.880109278,10/7/2013,265
24.2,24.308562685,25.6,27.374567820,10/7/2013,266
24.2,23.963296162,25.8,26.029698657,10/7/2013,267
24.7,24.573761324,26.2,26.814775187,10/7/2013,268
24.9,24.152203962,26.4,26.192892388,10/7/2013,269
24.9,23.859103719,26.6,26.022127507,10/7/2013,270
25.2,23.843003060,26.8,26.186368065,10/7/2013,271
21.7,24.279430817,22.4,26.495953965,10/7/2013,272
23.8,23.595027857,25.2,25.160500029,11/7/2013,273
23.9,23.885899716,25.5,25.794026940,11/7/2013,274
24.4,23.802969603,25.6,25.883353613,11/7/2013,275
24.3,24.093140830,25.6,25.782933876,11/7/2013,276
24.6,24.148029201,26.1,25.949506682,11/7/2013,277
23.8,24.355731684,25.1,26.497574226,11/7/2013,278
24.8,22.911004450,25.6,24.866489138,11/7/2013,279
23.6,23.539871465,24.6,25.218937323,11/7/2013,280
23.9,22.690560589,24.9,24.558373140,11/7/2013,281
24.5,23.994957121,25.9,26.065519638,11/7/2013,282
22.8,24.017075743,24.2,25.953533408,11/7/2013,283
24.4,23.780881811,25.7,25.925159270,11/7/2013,284
23.8,24.025591449,25.7,25.865112251,11/7/2013,285
23.4,22.824855845,24.5,25.366629128,11/7/2013,286
24.1,22.668811118,25.1,24.424902324,11/7/2013,287
23.8,23.349765538,25.4,25.173055373,11/7/2013,288
24.9,24.208685439,26.1,26.235132901,11/7/2013,289
23.5,24.149967824,24.7,26.081400351,11/7/2013,290
23.8,23.312234789,24.8,25.193285084,11/7/2013,291
23.8,24.176661856,25.4,25.888498735,11/7/2013,292
24.2,23.333552193,25.9,25.447167977,11/7/2013,293
24.4,23.645406596,25.4,25.864566800,11/7/2013,294
24.6,23.375630314,25.6,25.095037189,11/7/2013,295
24.6,23.532267496,25.8,25.260956808,11/7/2013,296
23,23.709588822,24.3,25.568022422,11/7/2013,297
23.1,23.148460508,24.7,24.956819435,12/7/2013,298
23.6,23.070679588,24.6,25.138505397,12/7/2013,299
23.4,23.350552465,25,24.853366898,12/7/2013,300
24,23.339666380,25.4,25.388549127,12/7/2013,301
23.3,23.801327554,24.2,25.846770244,12/7/2013,302
23.7,22.432672492,24.6,24.031797730,12/7/2013,303
22.8,22.538173279,23.6,24.286867404,12/7/2013,304
23.2,21.947972791,24.1,23.628803266,12/7/2013,305
23.7,23.349019826,25.4,25.321593832,12/7/2013,306
21.9,23.300233325,23,25.485762965,12/7/2013,307
23.5,22.941625249,25.2,24.810038744,12/7/2013,308
23.4,23.222375647,24.5,25.396525107,12/7/2013,309
22.9,22.417446073,23.7,24.255695072,12/7/2013,310
22.8,22.195629889,24.3,23.682562348,12/7/2013,311
23.1,22.185622422,24.6,24.424052976,12/7/2013,312
24.1,23.562763652,25.4,25.491127759,12/7/2013,313
22.9,23.422823190,23.8,25.428930926,12/7/2013,314
23.2,22.747535392,23.8,24.357746566,12/7/2013,315
23.5,23.606816723,24.7,24.960583244,12/7/2013,316
23.9,23.038257173,25.4,24.798870572,12/7/2013,317
23.8,23.360408149,24.7,25.400997246,12/7/2013,318
23.9,22.821227002,24.7,24.444229017,12/7/2013,319
24,22.881196721,24.9,24.424591330,12/7/2013,320
20.5,23.144888425,22.9,24.732489019,12/7/2013,321
22.2,22.584052098,25.2,25.613729606,13/7/2013,322
22.5,22.503693426,25.3,25.782147397,13/7/2013,323
22.3,22.583204358,26,25.688426421,13/7/2013,324
22.5,22.299683528,25.9,26.136310100,13/7/2013,325
22.8,22.608528751,26.1,26.213045877,13/7/2013,326
22.2,22.800784602,25.7,26.484030718,13/7/2013,327
23.2,21.559690318,25.8,25.408780668,13/7/2013,328
22.5,22.167957345,25.2,25.391808152,13/7/2013,329
22.8,21.771093614,25.3,25.104849261,13/7/2013,330
22.9,23.065158853,25.7,26.427445529,13/7/2013,331
21.8,22.624574217,24.9,25.756919175,13/7/2013,332
22.9,22.952929059,25.8,26.564854113,13/7/2013,333
22.9,22.734897081,25.6,25.946463199,13/7/2013,334
21.9,22.042083156,25.2,25.268265225,13/7/2013,335
22.2,21.409018858,25.4,25.060373448,13/7/2013,336
22.3,21.723884008,25.1,25.435817242,13/7/2013,337
22.8,22.897400172,25.8,25.947016657,13/7/2013,338
22.1,22.320462281,25.1,25.788281459,13/7/2013,339
22.4,22.123364882,25.6,25.552512698,13/7/2013,340
22.7,23.008393888,25.3,26.617137068,13/7/2013,341
22.8,22.378043753,26.1,25.347114322,13/7/2013,342
22.6,22.446234811,26.2,26.039093707,13/7/2013,343
22.5,21.861875762,26,25.820373164,13/7/2013,344
23,21.738808797,25.8,25.614340180,13/7/2013,345
21.3,22.327383092,23.1,25.556140014,13/7/2013,346
23.3,23.285147637,25.5,25.805953351,14/7/2013,347
23,23.469040512,25.4,26.069271576,14/7/2013,348
23.8,23.020038643,25.7,25.785799398,14/7/2013,349
23.9,23.579613940,26,25.872622346,14/7/2013,350
23.5,23.822684322,26.5,26.317969517,14/7/2013,351
23.2,23.425802355,25.6,26.860170605,14/7/2013,352
23.4,22.418072139,25.7,25.325625976,14/7/2013,353
22.6,22.335383187,25.1,25.301960814,14/7/2013,354
23,21.852153342,25.2,25.014148034,14/7/2013,355
23.6,23.232569898,26.5,26.337673890,14/7/2013,356
22.2,23.270189988,24,26.502489837,14/7/2013,357
23.5,23.251903464,25.6,25.737789716,14/7/2013,358
23.4,23.242650521,25.5,25.767609027,14/7/2013,359
22.8,22.468618531,25.2,25.180922306,14/7/2013,360
22.8,22.186182360,25.6,25.068731303,14/7/2013,361
23.1,22.252228577,25.2,25.626429092,14/7/2013,362
24,23.593340978,26.6,26.046909459,14/7/2013,363
22.9,23.397919127,24.8,26.538067831,14/7/2013,364
23.1,22.798712482,25,25.282950107,14/7/2013,365
22.9,23.581929361,25.4,26.069634713,14/7/2013,366
23.5,22.555770661,26.8,25.441971849,14/7/2013,367
23.6,23.086699570,26.1,26.692314386,14/7/2013,368
23.8,22.720257710,25.9,25.737217824,14/7/2013,369
23.7,22.856297711,25.8,25.533702385,14/7/2013,370
22.1,22.931807006,25.8,25.562827742,14/7/2013,371
23.3,24.114957465,28.1,28.307238766,15/7/2013,372
23.4,23.602742910,28.9,28.471516610,15/7/2013,373
23.7,23.545557562,29.3,29.022645856,15/7/2013,374
23.3,23.678435196,26.2,29.197641960,15/7/2013,375
23.9,23.314597590,29.6,26.498528749,15/7/2013,376
23.9,23.930724310,28.8,29.727580895,15/7/2013,377
24.2,23.187251326,29.3,28.287907615,15/7/2013,378
23.2,23.211524465,29.2,28.634537561,15/7/2013,379
23.3,22.581303688,28.2,28.806837325,15/7/2013,380
23.8,23.645956738,29.7,29.111972338,15/7/2013,381
22.9,23.607525114,27.5,29.460571049,15/7/2013,382
24,24.036527748,29.6,28.977161914,15/7/2013,383
24.2,23.880279333,28.6,29.467116999,15/7/2013,384
23.4,23.319017549,28.9,28.051683664,15/7/2013,385
23.2,22.894738741,28.3,28.491969083,15/7/2013,386
22.8,22.736548593,28.9,28.124428663,15/7/2013,387
24,23.524572170,30,29.462616541,15/7/2013,388
23.7,23.572808503,28.7,29.679220754,15/7/2013,389
23.4,23.690304801,28.4,28.892587004,15/7/2013,390
23.5,24.015935063,28.6,29.213257303,15/7/2013,391
23.9,23.238581608,29.5,28.403410476,15/7/2013,392
24.3,23.571026561,29.9,29.190278280,15/7/2013,393
24.2,23.520330169,29.5,29.253664837,15/7/2013,394
23.9,23.386964246,29.4,28.862916204,15/7/2013,395
23.3,23.289736500,25.2,28.890358401,15/7/2013,396
24.3,25.120324695,28,27.763999783,16/7/2013,397
25.6,24.461110795,28.8,28.388433212,16/7/2013,398
25.2,25.440355832,28.7,28.949619759,16/7/2013,399
23.8,24.942904400,27.5,28.656946064,16/7/2013,400
26,23.813202031,30.5,27.704316308,16/7/2013,401
26.1,25.790640349,28.4,30.577334955,16/7/2013,402
26.2,25.066602259,29.1,27.937802420,16/7/2013,403
24.9,24.928432124,27.9,28.467491416,16/7/2013,404
25,23.982469636,28.5,27.621288834,16/7/2013,405
25.7,25.129485206,30,29.404298135,16/7/2013,406
24.2,25.263812430,27.1,29.754468443,16/7/2013,407
26.1,25.138554432,29.6,28.619521215,16/7/2013,408
25.8,25.693853569,28.5,29.485632688,16/7/2013,409
25.3,24.695599385,27.4,27.973635263,16/7/2013,410
24.1,24.458346867,28.8,27.123367151,16/7/2013,411
24.4,23.539432157,28.9,28.594715475,16/7/2013,412
26,24.906303019,30.6,29.476928353,16/7/2013,413
25.6,25.330906320,27.7,30.251066231,16/7/2013,414
25.4,25.279657054,27.9,27.985790911,16/7/2013,415
25.3,25.717404508,28.9,28.769085382,16/7/2013,416
26.1,24.808498744,30.2,28.696474778,16/7/2013,417
26.6,25.507014556,29.2,29.856146023,16/7/2013,418
26.7,25.470603865,29.2,28.627314037,16/7/2013,419
26.5,25.530571097,29.5,28.607689075,16/7/2013,420
21.2,25.540309357,22.7,29.005406354,16/7/2013,421
23.7,23.177673157,26.3,25.438279531,17/7/2013,422
23.7,23.855182491,26.1,26.814201303,17/7/2013,423
24.2,23.660139655,26.7,26.440880943,17/7/2013,424
24.6,23.976052570,26.5,26.802279523,17/7/2013,425
24,24.452482985,26.6,26.788352758,17/7/2013,426
23.4,23.862267062,25.5,26.959434272,17/7/2013,427
23.4,22.585134047,26.4,25.237640458,17/7/2013,428
23,22.370889745,25.2,25.951227077,17/7/2013,429
23.3,22.202253362,25.1,25.112550511,17/7/2013,430
24,23.485945524,27,26.250810308,17/7/2013,431
22.3,23.640889309,24.5,26.970316527,17/7/2013,432
24.1,23.363484743,26.6,26.203155521,17/7/2013,433
23.2,23.811817821,26.3,26.698992189,17/7/2013,434
23,22.336541819,25,25.920841284,17/7/2013,435
23.3,22.348101953,26.3,24.888351312,17/7/2013,436
23.4,22.719566182,25.7,26.279962363,17/7/2013,437
23.8,23.877664121,26.7,26.513933745,17/7/2013,438
23,23.229792102,24.9,26.631502291,17/7/2013,439
23.4,22.889708980,25.6,25.378817416,17/7/2013,440
23.2,23.871419710,26.2,26.628926134,17/7/2013,441
23.9,22.855544400,27.1,26.186058564,17/7/2013,442
24,23.447094230,26.2,26.975454604,17/7/2013,443
23.9,23.070356134,26.4,25.835628466,17/7/2013,444
23.7,22.967882020,26.3,25.999052693,17/7/2013,445
23.7,22.957026290,25.7,26.027318585,17/7/2013,446
23.6,23.824099191,25.9,26.261008079,18/7/2013,447
24,23.563282706,26.1,26.256293013,18/7/2013,448
24.3,23.772230489,25.6,26.247412043,18/7/2013,449
24.1,24.146844007,28.3,25.955569915,18/7/2013,450
23.9,24.035975042,28.2,28.531390642,18/7/2013,451
23.9,23.155808248,27.9,27.736554952,18/7/2013,452
23.3,22.879774872,28.8,27.341823764,18/7/2013,453
23.8,22.646529590,27.5,28.441034205,18/7/2013,454
24.1,24.041153362,26.6,28.472743034,18/7/2013,455
23,23.706474315,27.5,26.602676296,18/7/2013,456
24,24.122342225,26.5,28.980837879,18/7/2013,457
23.8,23.720105759,27.8,26.606785577,18/7/2013,458
23.4,22.931798384,26.7,27.312264623,18/7/2013,459
23.6,22.826331836,25.3,26.651262403,18/7/2013,460
24.1,24.029615825,28.8,26.147144413,18/7/2013,461
23.5,23.596831268,26.1,28.574592408,18/7/2013,462
23.8,23.383152478,26.3,26.492305797,18/7/2013,463
23.6,24.252753780,27.1,27.279750629,18/7/2013,464
24.2,23.247171050,27.2,27.021631337,18/7/2013,465
24,23.711159422,29.3,27.071308393,18/7/2013,466
24,23.229779949,28.5,28.699795523,18/7/2013,467
24,23.162185765,28.2,27.940451362,18/7/2013,468
21.8,23.313772196,27.3,27.785663905,18/7/2013,469
22.7,23.932359306,29.8,29.693840411,19/7/2013,470
23.1,23.171312875,30.2,30.040438461,19/7/2013,471
23.9,23.352640156,30.5,30.224635651,19/7/2013,472
23.4,23.912213001,25,30.311471138,19/7/2013,473
23.7,23.338429068,30.8,25.394878991,19/7/2013,474
24.5,23.819020525,30.3,30.838082173,19/7/2013,475
24.1,23.781951153,30.6,29.682179128,19/7/2013,476
22.8,23.191331265,31.1,29.838276172,19/7/2013,477
22.3,22.332909820,29.6,30.562157123,19/7/2013,478
23.4,22.853522872,31.5,30.400870377,19/7/2013,479
22.7,23.353987834,31.2,31.123501981,19/7/2013,480
23.6,24.053542371,31.1,32.396703787,19/7/2013,481
23.6,23.611274902,31.3,30.853070197,19/7/2013,482
23.7,22.939071149,29.9,30.544240824,19/7/2013,483
21.8,23.204595851,29.9,29.421874355,19/7/2013,484
